noun | succès | éxito
noun | rêve | sueño
noun | cauchemar | pesadilla
expr | rendre visite (à quelqu'n) | hacer una visita, visitar (a alguien)
verb | profiter | disfrutar
adve | vite | rápido
adje | pire | peor, más malo
expr | faire de la randonnée | hacer senderismo
prep | sous | bajo, debajo de
verb | parcourir | recorrer
adve | hélas | desgraciadamente
adje | aucun | ningún, ninguna
noun | besoin | necesidad
prep | jusqu'à | hasta
expr | être en train de | estar en proceso de
verb | classer | clasificar, organizar
expr | lorsque | cuando, mientras que
verb | écrier | exclamar
verb | accueillir | acoger, recibir
expr | à l'endroit | al derecho
expr | à l'envers | al revés
expr | à plein voix | a viva voz
noun | abbaye | abadía
verb | accédér à | acceder a
noun | acte | acto
adje | actif, active | activo, activa
